DocumentID 	Filename                                                                       	LockProject 	UserID 	LockDomain  	LockPath                                                       	Busy 	Flushed 	DefValStored 	RevGenCounter 	LatestRevisionNo 	CurrentStatusID 	WorkingVersionModified 	ExtensionID 	LockDate                	UserDocRefsModified 	Deleted 	Shared 	LockViewID                           	Link 	DocTypeID 	ObjectTypeID 	Flags
         1 	No Document                                                                    	          2 	     1 	NULL        	NULL                                                           	   0 	      0 	           0 	0             	               0 	              1 	                     0 	          1 	NULL                    	0                   	      0 	     0 	NULL                                 	   0 	1         	           0 	    0
         2 	TestFile.txt                                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	              16 	             11 	                     0 	         63 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         3 	Z831873-1_01VPA45B-01-02-00.SLDASM                                             	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               2 	             10 	                     0 	          4 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         4 	Z831873-1_01-02-02-04.SLDPRT                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               2 	             10 	                     0 	          5 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         5 	Z831873-1_01-02-02-04.SLDDRW                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               3 	             10 	                     0 	          3 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         6 	Z831873-1_01-02-02-03.SLDPRT                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               2 	             10 	                     0 	          5 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         7 	Z831873-1_01-02-02-03.SLDDRW                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               3 	             10 	                     0 	          3 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         8 	Z831873-1_01-02-02-02.SLDPRT                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               2 	             10 	                     0 	          5 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
         9 	Z831873-1_01-02-02-02.SLDDRW                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               2 	             10 	                     0 	          3 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
        10 	Z831873-1_01-02-02-01.SLDPRT                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               2 	             10 	                     0 	          5 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
        11 	Z831873-1_01-02-02-01.SLDDRW                                                   	          2 	     1 	            	                                                               	   0 	      2 	           1 	NULL          	               3 	             10 	                     0 	          3 	NULL                    	0                   	      0 	     1 	NULL                                 	   0 	1         	           1 	    0
